Acronym,Projeto,Integrations
acad,acad-consultas-dominios-java , cdps-corp; original-legacy
apio,apio-canal-saque-digital-java , apio-corp;atmo-corp;atmo-integration
apio,apio-canal-extratos-parceiro-java , ctas-corp; original-legacy; ctas-integration
apio,apio-consultas-debito-automatico-java , conv-integration; apio-corp; apio-integration
apio,apio-canal-aditamento-nao-correntista-java , empp-integration
apio,apio-solicitacao-cartao-java , apio-corp.properties; glpf-integration
apio,apio-boletos-parceiro-java , cbic-integration; parc-integration
apio,apio-canal-gerador-pagamento-fatura-java , ctpl-integration; apio-integration
apio,apio-retorno-recebiveis-java , intr-integration
apio,apio-canal-clientes-java , cdps-corp; cdps-integration; fwcl-corp
apio,apio-termo-aceite-java , apio-corp; apio-integration
cdps,cdps-bens-cadastrados-java , acpf-integration;mcsv-integration;atcl-integration;cnio-corp; ctas-integration; ctcr-integration; original-legacy; cdps-corp
cdps,cdps-consultar-informacoes-cliente-mint-java , cdps-corp; original-legacy; cdps-integration
cdps,cdps-pendencias-clientes-java , cdps-corp; original-legacy
cdps,cdps-atualizacao-dados-cadastrais-java , cdps-corp; cdps-integration; original-legacy; acad-integration
cdps,cdps-orq-cadastro-nao-correntista-java , cdps-corp; original-legacy
cdps,cdps-documentos-nao-correntista-java , gedc-integration
cdps,cdps-orq-dados-cadastrais-java , cdps-integration; parc-integration
cdps,cdps-dados-cadastrais-nao-correntista-java , cdps-corp; original-legacy
cdps,cdps-contas-clientes-java , cdps-corp; original-legacy
cdps,cdps-officer-java-ocp , cdps-corp; original-legacy
cdps,cdps-pessoa-juridica-java , cdps-corp; cdps-integration; original-legacy
cdps,cdps-atualizar-status-documento-batch-java , original-legacy; cdps-corp; fwcl-corp
cdps,cdps-verifica-dados-irregulares-batch-java , original-legacy; cdps-corp; fwcl-corp
cdps,cdps-officer-java , cdps-corp; original-legacy
cdps,cdps-empresas-java , cdps-corp; original-legacy; cdps-integration; acad-integration
cdps,cdps-verificar-cliente-java , cdps-corp; original-legacy
cdps,cdps-produtos-java , cdps-corp; original-legacy
cdps,cdps-sincronizacao-tabelas-java , cdps-corp; original-legacy
cdps,cdps-orq-abertura-cadastro-java , cdps-corp; original-legacy
cdps,cdps-enriquecer-dados-tef-parcerias-java , cdps-corp; original-legacy
cdps,cdps-cmm-rest-java , acpf-integration;mcsv-integration;atcl-integration;cnio-corp;cdps-integration;original-legacy
cdps,cdps-operacoes-clientes-java , cdps-corp; original-legacy
cdps,cdps-servicos-cmm-java , cdps-corp; original-legacy
cdps,cdps-obter-clientes-novos-atualizados-onu-batch-java , cdps-corp; original-legacy; fwcl-corp
cdps,cdps-listas-restritivas-batch-java , cdps-corp; original-legacy; fwcl-corp
cdps,cdps-abertura-cadastro-java , cdps-corp; original-legacy
cdps,cdps-consultar-informacoes-cliente-java , cdps-corp; original-legacy
cdps,cdps-validacao-dados-java , cdps-corp; original-legacy
ctas,ctas-migracao-processa-saldo-java , ctas-corp; ctas-integration; original-legacy; fwcl-corp
ctas,ctas-consumidor-validacao-saldo-migracao-java , ctas-corp; ctas-integration;original-legacy; atco-integration
ctas,ctas-migracao-verifica-saldo-batch-java , ctas-corp; ctas-integration; original-legacy; fwcl-corp
ctas,ctas-migracao-gera-bucket-batch-java , ctas-corp; ctas-integration; original-legacy; fwcl-corp
ctas,ctas-migracao-transfere-saldo-batch-java , ctas-corp; ctas-integration; original-legacy; fwcl-corp
ctas,ctas-expurgo-mov-parceiro-batch-java , ctas-corp; original-legacy
ctas,ctas-carga-movimento-parceiro-batch-java , ctas-corp; original-legacy
ctas,ctas-carga-tabela-subproduto-batch-java , ctas-corp; original-legacy
ctas,ctas-expurgo-bucket-batch-java , ctas-corp; ctas-integration; original-legacy; fwcl-corp
ctas,ctas-conciliacao-saldo-batch-java , ctas-corp; original-legacy
ctas,ctas-portabilidade-salario-batch-java , ctas-corp; original-legacy; fwcl-corp
ctas,ctas-tratar-saldo-aplicado-batch-java , ctas-corp; original-legacy
ctas,ctas-bloqueio-valores-webjud-java , ctas-corp; original-legacy
ctas,ctas-consulta-bloqueio-transacional-java , ctas-corp; original-legacy
ctas,ctas-bloqueio-desbloqueio-valores-java , ctas-corp; original-legacy
ctas,ctas-anular-bucket-batch-java , ctas-corp; ctas-integration; original-legacy; fwcl-corp
ctas,ctas-liberacao-cheque-batch-java , ctas-corp; original-legacy
ctas,ctas-exclusao-bloqueio-batch-java , ctas-corp; original-legacy
ctas,ctas-consumidor-orquestrador-bucket-java , ctas-corp; ctas-integration;original-legacy; atco-integration
ctas,ctas-retorno-bucket-batch-java , ctas-corp; ctas-integration; original-legacy; fwcl-corp
ctas,ctas-erro-bucket-batch-java , ctas-corp; ctas-integration; original-legacy; fwcl-corp
ctas,ctas-orquestrador-bucket-batch-java , ctas-corp; ctas-integration; original-legacy; fwcl-corp
ctas,ctas-bucket-batch-java , ctas-corp; ctas-integration; original-legacy; fwcl-corp
ctas,ctas-consulta-lancamentos-java , ctas-corp; original-legacy
ctas,ctas-historico-contas-batch-java , ctas-corp; original-legacy
ctas,ctas-expurgo-log-mov-batch-java , ctas-corp; original-legacy
ctas,ctas-desbloqueio-saldo-batch-java , ctas-corp; original-legacy
ctas,ctas-atualizacao-massiva-rotativo-batch-java , ctas-corp; original-legacy
ctas,ctas-status-lancamentos-efetivar-java , ctas-corp;original-legacy
ctas,ctas-consumidor-encerramento-contas-irregulares-java , original-legacy; ctas-corp; ctas-integration; atco-integration
ctas,ctas-extratos-java , ctas-corp; original-legacy; ctas-integration
ctas,ctas-consumidor-tabelas-sincronizacao-batch-java , ctas-corp; original-legacy; fwcl-corp
ctas,ctas-consumidor-transacoes-efetivar-java , ctas-corp; ctas-integration;original-legacy; atco-integration
