Sigla,Projeto,Arquivo,Nome da Variável,URL
acad,acad-servicos-java,application-dev.properties,swagger.api.termsOfServiceUrl,www.original.com.br
acad,acad-servicos-java,application-hml.properties,swagger.api.termsOfServiceUrl,www.original.com.br
acad,acad-servicos-java,application-dev.properties,swagger.api.termsOfServiceUrl,www.original.com.br
acad,acad-servicos-java,application-hml.properties,swagger.api.termsOfServiceUrl,www.original.com.br
acad,acad-consultas-dominios-java,application-dev.properties,original.url.rest.consultation.countries,bcodacadapp01:5052/api/EnderecoDominio/v1
acad,acad-consultas-dominios-java,application-dev.properties,original.url.rest.consultation.dominios,bcodacadapp01:5057/dominioAcadService
acad,acad-consultas-dominios-java,application-hml.properties,original.url.rest.consultation.countries,bcohacadapp01:5052/api/EnderecoDominio/v1/ConsultarPaises
acad,acad-consultas-dominios-java,application-hml.properties,original.url.rest.consultation.dominios,bcohacadapp01:5057/dominioAcadService
acad,acad-consultas-dominios-java,application-prd.properties,original.url.rest.consultation.countries,vsacadprdback:5052/api/EnderecoDominio/v1
acad,acad-consultas-dominios-java,application-prd.properties,original.url.rest.consultation.dominios,vsacadprdback:5057/dominioAcadService
apio,apio-consultas-debito-automatico-java,application-hml.properties,conv.consultas.debito.automatico.java.url,conv-consultas-debito-automatico-java.conv-hml.svc.cluster.local:8080
apio,apio-qr-code-java,application-dev.properties,endpoint.ipix-gerar-qr-code.jws,ipix-qr-code-java.ipix-dev.svc.cluster.local:8080/qr/v2
apio,apio-qr-code-java,application-dev.properties,endpoint.ipix-gerar-qr-code.keys,ipix-qr-code-java.ipix-dev.svc.cluster.local:8080/v2/keys
apio,apio-qr-code-java,application-dev.properties,ad.authentication,atco-auth-sistemas-java.atco-dev.svc.cluster.local:8080/v1/token
apio,apio-qr-code-java,application-hml.properties,endpoint.ipix-gerar-qr-code.jws,ipix-qr-code-java.ipix-hml.svc.cluster.local:8080/qr/v2
apio,apio-qr-code-java,application-hml.properties,#endpoint.ipix-gerar-qr-code.jws,ipix-qr-code-java.apps.ocp-h.original.com.br/qr/v2
apio,apio-qr-code-java,application-hml.properties,endpoint.ipix-gerar-qr-code.keys,ipix-qr-code-java.ipix-hml.svc.cluster.local:8080/keys/v2
apio,apio-qr-code-java,application-hml.properties,#endpoint.ipix-gerar-qr-code.keys,ipix-qr-code-java.apps.ocp-h.original.com.br/keys/v2
apio,apio-qr-code-java,application-hml.properties,ad.authentication,atco-auth-sistemas-java.atco-hml.svc.cluster.local:8080/v1/token
apio,apio-qr-code-java,application-hml.properties,#ad.authentication,atco-auth-sistemas-java.apps.ocp-h.original.com.br/v1/token
apio,apio-qr-code-java,application-prd.properties,endpoint.ipix-gerar-qr-code.jws,ipix-qr-code-java.ipix.svc.cluster.local:8080/qr/v2
