Sigla,Projeto,Arquivo,URL
acad,acad-consultas-dominios-java,CountriesClient.java,original.url.rest.consultation.countries
acad,acad-consultas-dominios-java,DominioClient.java,original.url.rest.consultation.dominios
apio,apio-canal-saque-digital-java,DigitalWithDrawalServcore.java,atmo.cmm.servcore.digital.with.drawal
apio,apio-consultas-debito-automatico-java,ConsultationAutomaticDebitClient.java,conv.consultas.debito.automatico.java.url
apio,apio-solicitacao-cartao-java,CreditApprovalFeingClient.java,glpf.orq.credito.java.url
apio,apio-boletos-parceiro-java,PartnerFeign.java,partner.product.url
apio,apio-boletos-parceiro-java,SlipFeign.java,cbic.slip.url
apio,apio-canal-cartao-pre-pago-virtual-java,CardFeignClient.java,url.virtual.card
apio,apio-canal-abertura-cadastro-java,RegistersFeign.java,registers.request.url
cdps,cdps-tratamento-cep-java,FindCep.java,cep.request.url
cdps,cdps-manutencao-prospect-java,AcadFeign.java,acad.java.url
cdps,cdps-officer-java,CustomerAcadFeignService.java,acad.apoio.cadastro.url
cdps,cdps-empresas-java,AcadDomainClient.java,acad.consultas.dominios.java.url
cdps,cdps-empresas-java,AcadRegistrationAccountName.java,acad.apoio.cadastro.url
cdps,cdps-empresas-java,AcadRegistrationSuport.java,acad.apoio.cadastro.url
cdps,cdps-empresas-java,CdpsDataValidation.java,cdps.validacao.dados.java.url
cdps,cdps-empresas-java,CdpsSearchClientInfos.java,cdps.consultar.informacoes.cliente.java.url
cdps,cdps-cmm-rest-java,CustomerRestService.java,original.url.rest.prospect.suppliers
cdps,cdps-cmm-rest-java,KycRestService.java,original.url.rest.visit-report-kyc.base
cdps,cdps-cmm-rest-java,ProspectAcadServiceFeign.java,original.acad.consulta.url
cdps,cdps-atualizar-cadastro-java,FindSolicitarCartaoClient.java,url.servico.solicitarCartao
ctas,ctas-abertura-conta-vinculada-cmm-java,CustomerDataFeignClient.java,cdps.consultar.informacoes.cliente.java.url
ctas,ctas-abertura-conta-vinculada-cmm-java,OfficerDataFeignClient.java,cdps.officer.java.url
ctas,ctas-credito-imediato-java,AccountFeignService.java,ctas.cmm.rest.java.url
ctas,ctas-cmm-rest-java,PaymentFeignService.java,pgto.cmm.rest.java.url
ctas,ctas-solicita-encerramento-java,ApatHireAndCancellationFeignService.java,original.url.rest.apat-hire-and-cancellation-java-url
