Sigla_2,Qtd
apio,41.0
apoc,2.0
atad,13.0
atcl,12.0
atco,2.0
atkn,1.0
ator,2.0
autr,2.0
bimo,8.0
bpmo,6.0
cbic,7.0
cdps,23.0
ceno,4.0
cess,2.0
conv,1.0
cosg,16.0
crpl,6.0
ctas,39.0
ctcr,94.0
ctpl,10.0
depb,2.0
empc,28.0
empp,92.0
epat,1.0
fdos,6.0
fepw,6.0
gagc,8.0
gedc,7.0
glcr,9.0
glpf,22.0
glpj,9.0
intp,2.0
invo,2.0
ipix,21.0
lgpd,2.0
lipe,9.0
maca,3.0
mbio,4.0
mcsv,61.0
mtpr,2.0
obot,5.0
ofer,3.0
opbk,3.0
parc,2.0
pcpg,2.0
pgto,72.0
port,2.0
prev,10.0
pvfr,17.0
pvld,7.0
qsbo,2.0
reip,13.0
retr,14.0
rewd,5.0
rhgp,1.0
rnco,18.0
rneg,9.0
rtto,24.0
tbgr,33.0
trfo,6.0
trnf,4.0
tsbo,6.0
urao,2.0
external-secrets,1.0
fisca,2.0
kube-system,1.0
kubecost,2.0
original-metrics,1.0
sicred,13.0
Total de Pods,867.0
